,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
182,1,3,57.26466,7504.12500,129.36407,675.96528,0.60758,501.29167,95.47222,474.29779,201.15219
183,1,3,19.25617,1335.71065,26.75477,106.47569,1.07298,89.41667,26.18750,84.23652,29.50761
184,1,2,249.45255,8392.33333,167.99691,1298.92014,2.25509,56.11806,7.30556,505.96528,678.99785
185,1,2,447.84259,16006.41204,204.98819,1345.83333,3.03256,327.90278,56.48611,1053.44036,1076.47743
186,1,3,18.33796,2469.86343,50.46724,258.73264,1.56796,167.69444,26.46528,153.68096,94.06557
187,1,3,922.28704,46780.67130,726.69335,7094.77083,1.09362,935.19444,94.11806,2785.28799,3305.06306
188,1,2,121.90856,4395.58565,119.65379,647.98958,0.50000,186.03472,11.98611,268.98979,258.43378
189,1,2,509.71528,12301.37731,247.37107,1906.63542,2.46637,52.95139,24.54861,705.64869,1066.37133
210,1,1,60.25463,3579.37731,52.05582,201.56944,0.64267,116.18750,4.31250,262.70302,416.40479
211,1,2,24.70602,4382.97685,62.79001,300.75694,0.94953,245.17361,88.95833,279.77492,161.88846
212,1,1,103.91435,3802.02546,94.89773,362.98264,4.04796,224.74306,23.05556,241.45833,161.96755
213,1,1,17.90046,1466.73380,38.51971,147.15625,0.51942,44.07639,17.34722,99.89992,83.75236
214,1,3,163.81481,6664.59722,107.07873,1017.35069,0.50354,125.72917,28.04167,390.82026,556.91671
215,1,2,10.33449,2962.36806,12.67930,50.15972,0.51807,44.81944,4.03472,249.52859,618.08812
216,1,3,1069.70293,32916.65741,570.83960,4241.80556,1.55260,635.63194,2.50694,2080.35417,2830.67657
217,1,2,183.68519,8235.32407,78.14312,587.03125,0.64855,132.99306,17.63889,538.71364,645.23091
218,1,2,111.93056,4495.62269,56.37993,360.19792,0.76851,126.83333,24.89583,269.23652,262.36884
219,1,2,126.30440,2902.03472,60.66180,308.92361,2.36942,89.05556,10.93056,179.11765,185.87032
240,1,1,1943.90046,21505.00694,776.33304,3077.66319,3.10667,237.27778,16.16667,1272.95425,1953.89758
241,1,3,122.88657,4460.78935,59.01622,547.80208,0.51905,78.27778,29.38194,263.57435,340.25159
242,1,2,19.95602,785.98611,20.81572,80.30903,1.60314,44.81944,13.75000,49.53472,32.62600
243,1,2,221.88773,6077.24306,110.24330,442.31250,3.11060,297.58333,43.44444,363.49101,253.02105
244,1,2,44.71759,2010.27315,33.99012,169.28472,0.51843,102.56944,21.08333,135.85907,98.68437
245,1,3,132.10108,6722.10880,123.67233,823.93403,0.87813,253.45139,50.60417,416.54126,406.97137
246,1,2,61.88426,5894.05787,103.61360,388.53472,0.96549,348.40972,227.34722,362.72304,84.88718
247,1,1,20.06019,4383.85185,24.39204,77.90972,2.97628,100.50000,45.57639,316.09600,437.95489
248,1,1,230.33565,6357.10185,100.02515,381.57292,3.78755,196.88194,36.59028,437.29698,504.11212
249,1,2,48.45255,1515.99074,26.68541,158.72917,0.73777,46.18750,4.39583,94.93546,94.41181
270,1,3,27.51698,1379.14815,34.65928,191.42014,0.50000,16.52778,3.70833,84.23897,93.96986
271,1,2,203.21528,5158.56481,102.85435,592.37847,1.89492,180.67361,26.22222,309.33783,327.86955
272,1,2,169.03588,7347.76389,81.38292,592.74306,2.30284,109.84028,11.93750,533.18505,858.20491
273,1,3,11.23225,1723.16204,47.63714,405.14583,0.50000,64.43750,14.81250,115.38562,130.33551
274,1,1,7.72685,926.12963,26.84896,82.39583,0.59294,29.45833,8.08333,64.02410,67.61898
275,1,3,38.19136,1423.80324,32.68912,183.46181,0.72592,16.89583,5.53472,86.97794,98.20758
276,1,3,55.33719,5366.92824,108.81098,1004.14583,0.50000,166.79167,71.89583,355.99796,365.47329
277,1,1,93.18519,3835.38889,52.85417,186.88194,2.95691,128.22917,11.92361,280.60049,403.68291
278,1,1,94.02546,3762.50926,164.68068,629.53125,1.03628,95.15278,5.80556,266.11193,275.53899
279,1,2,278.18866,7244.74306,128.73059,503.02778,2.34227,332.47222,23.02778,420.06781,335.83718
300,1,3,17.82793,7589.37963,34.86359,223.48958,0.99255,100.31944,35.21528,627.26838,1471.10591
301,1,3,5.54630,1373.46759,9.78715,25.27431,0.56835,21.09028,6.38194,113.46773,237.27597
302,1,2,15.98727,1339.16204,22.98749,96.60417,1.18682,53.42361,12.59028,91.57680,103.89178
303,1,2,54.23264,23503.64815,654.37688,4575.44097,0.50000,559.88194,1.97222,1530.27124,1811.18744
304,1,2,114.63542,3684.44444,121.76606,573.23264,0.50000,79.02083,3.70139,235.06822,255.22694
305,1,1,108.89583,4409.56944,46.12206,170.49653,3.18784,48.02778,3.34722,304.72590,536.40337
306,1,3,20.17978,677.03009,16.56660,56.26042,0.54042,33.66667,6.38889,40.05596,29.78434
307,1,1,591.68056,9655.14352,230.07754,890.80556,5.06220,425.10417,7.77083,564.86520,579.07414
308,1,2,9.49421,2689.68981,16.70283,60.41667,1.10379,44.51389,16.15278,194.31209,359.73556
309,1,2,5.57986,511.31481,7.15973,16.53819,1.59904,18.58333,3.81250,36.95792,52.49949
330,1,2,165.79861,9638.29861,185.40368,776.96528,2.31477,676.17361,52.67361,576.59273,317.29041
331,1,1,219.74074,4770.36111,280.75443,1118.02083,0.50000,49.06944,5.59722,303.88031,480.41514
332,1,0,0.00000,11793.64815,0.00000,0.00000,0.00000,87.98611,1.79167,789.42279,997.64159
333,1,1,715.41667,15724.59954,284.39982,1108.56944,3.00399,46.94444,5.75694,1083.40972,1877.47392
334,1,2,138.93287,4415.07639,93.00814,398.09028,0.50000,240.47222,24.58333,264.52492,218.08726
335,1,2,129.47222,2665.00463,56.86533,335.18750,2.41740,51.63194,9.47222,151.95711,210.74189
336,1,2,42.87500,1144.03935,31.06584,138.11111,1.12441,45.70139,2.50694,70.89624,73.77278
