,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
65,3,0.05537,41.22998,0.39238,35.77831,0.19516,297.75694,101.88327,3.12690,4.23651,0.00111,2.61098,-0.71098,0.99469,0.51750
66,3,0.05448,178.72549,0.42798,160.15026,0.15119,266.04167,461.87554,3.20177,4.25612,0.00110,2.73084,-0.74844,0.99550,0.51500
67,3,0.05412,122.58088,0.26850,88.94753,0.15074,298.85784,233.20922,3.19555,4.26021,0.00090,2.84121,-0.70356,0.99387,0.43000
68,3,0.05497,217.91176,0.29112,156.39047,0.18533,154.07516,407.65010,3.14855,4.23855,0.00163,2.83175,-0.70403,0.99346,0.49250
69,3,0.05429,245.11275,0.26668,200.63179,0.15705,219.56209,557.41442,3.12564,4.26377,0.00120,2.81934,-0.72629,0.99455,0.46000
70,3,0.05802,519.12541,0.26232,386.44823,0.13631,373.06332,1026.66750,3.18553,4.21301,0.00067,2.91639,-0.71088,0.98957,0.49250
71,3,0.06763,85.61193,0.25780,74.39225,0.23773,204.32680,211.95706,2.99349,4.02078,0.00174,2.49891,-0.58984,0.97480,0.50000
72,3,0.05853,212.07843,0.29944,168.07812,0.18132,164.09477,460.23405,3.12402,4.17807,0.00153,2.76990,-0.67671,0.98895,0.63500
73,3,0.05361,553.50163,0.24348,307.05243,0.11523,273.87418,674.70808,3.24509,4.27981,0.00098,2.80204,-0.75147,0.99514,0.49250
74,3,0.05638,37.76103,0.33689,32.29022,0.19644,141.35662,91.39984,3.15121,4.22170,0.00210,2.60804,-0.68478,0.99241,0.50000
75,3,0.05670,226.66871,0.41588,200.80208,0.16204,253.86234,576.53961,3.20237,4.23037,0.00107,2.79019,-0.72543,0.99329,0.48250
76,3,0.05428,192.93015,0.26033,119.02329,0.15565,297.38685,283.16302,3.20951,4.26797,0.00095,2.78192,-0.74570,0.99547,0.54000
77,3,0.05333,93.83946,0.42659,87.76098,0.12683,309.15809,257.20444,3.19442,4.27900,0.00096,2.69915,-0.77409,0.99744,0.39500
78,3,0.05387,295.21569,0.33248,235.17102,0.14053,274.45507,645.46841,3.15325,4.27083,0.00100,2.81029,-0.72782,0.99303,0.45750
79,3,0.05507,110.42565,0.29075,88.34254,0.17686,327.78431,242.94451,3.06156,4.23967,0.00095,2.72300,-0.71682,0.99337,0.51500
80,3,0.05498,223.52819,0.37004,204.86950,0.14970,341.70384,595.94981,3.20022,4.25449,0.00076,2.88344,-0.73151,0.99505,0.40250
81,3,0.05005,276.51471,0.30362,224.44586,0.09728,299.83987,621.26875,3.25866,4.34721,0.00102,2.67960,-0.79454,0.99780,0.50000
82,3,0.05383,648.21038,0.39203,456.81671,0.13867,201.79534,1179.05647,3.24814,4.27031,0.00138,2.75482,-0.75996,0.99600,0.44500
83,3,0.06220,19.87541,0.35193,18.62329,0.27056,191.73979,54.61775,3.01554,4.11006,0.00207,2.32879,-0.60813,0.97769,0.59750
84,3,0.05230,468.09804,0.36865,363.89982,0.11828,391.41503,987.50125,3.28349,4.30555,0.00066,2.91448,-0.78681,0.99761,0.45750
85,3,0.05512,105.15645,0.35315,95.90614,0.17732,313.84845,278.46810,3.15659,4.24283,0.00100,2.70675,-0.68052,0.98875,0.49500
86,3,0.05301,440.23325,0.27623,342.80312,0.10554,271.86070,930.97925,3.23843,4.28594,0.00085,3.00986,-0.71356,0.99253,0.41750
87,3,0.05181,303.83905,0.43062,276.10464,0.07244,273.95507,800.57952,3.25916,4.31187,0.00085,2.92060,-0.79313,0.99778,0.56000
88,3,0.05288,84.35498,0.20953,62.46834,0.14346,262.85090,165.51839,3.09419,4.29534,0.00118,2.66784,-0.71902,0.99416,0.44250
89,3,0.04962,2472.45711,0.31781,1988.76414,0.05194,307.22835,5482.59943,3.31208,4.35661,0.00048,3.21924,-0.81304,0.99858,0.53500
90,3,0.05034,334.95507,0.40197,300.98125,0.07314,309.70752,868.96993,3.27908,4.34150,0.00069,3.00888,-0.81043,0.99826,0.50500
91,3,0.05122,466.77819,0.30835,329.14628,0.08537,298.14910,849.80693,3.30299,4.32341,0.00072,3.05605,-0.79159,0.99771,0.50750
92,3,0.05492,181.25082,0.32873,126.79664,0.14642,285.92239,325.93573,3.26367,4.25163,0.00100,2.69690,-0.73555,0.99566,0.53250
93,3,0.05581,246.68913,0.31648,187.73287,0.17325,255.13603,504.24234,3.20228,4.23099,0.00109,2.77758,-0.69334,0.99095,0.54500
94,3,0.05764,203.51062,0.44142,181.14339,0.16979,229.34722,521.06293,3.16743,4.20424,0.00139,2.62066,-0.74010,0.99508,0.39250
95,3,0.05080,309.66095,0.27000,204.20030,0.08867,332.95752,507.14025,3.26797,4.33047,0.00066,3.05835,-0.79018,0.99806,0.45250
96,3,0.05087,396.46855,0.37060,360.35303,0.08230,333.80433,1044.94359,3.24101,4.32761,0.00069,3.00107,-0.80556,0.99809,0.44500
97,3,0.05927,77.66054,0.32822,77.21344,0.16083,324.01511,231.19323,3.04434,4.16573,0.00096,2.69985,-0.64447,0.98268,0.43750
98,3,0.05641,358.63072,0.24210,270.00066,0.14958,303.22467,721.37191,3.17287,4.22077,0.00085,2.88246,-0.70904,0.99344,0.53250
99,3,0.05307,977.17525,0.12288,594.59501,0.11477,368.96691,1401.20478,3.17930,4.28921,0.00059,3.08744,-0.75551,0.99585,0.55250
100,3,0.05369,97.02288,0.20018,61.94012,0.14556,324.77124,150.73761,3.14346,4.27614,0.00093,2.74299,-0.74431,0.99585,0.46000
101,3,0.06141,871.65033,0.30912,601.92365,0.19600,329.47141,1536.04428,3.12894,4.13702,0.00104,2.64487,-0.66829,0.98729,0.50250
102,3,0.05676,70.59559,0.39666,54.36743,0.20307,183.37092,146.87414,3.13068,4.21854,0.00202,2.43091,-0.71384,0.99291,0.38750
103,3,0.07212,13.15645,0.26731,12.40794,0.33845,271.47345,36.47530,2.84392,3.97017,0.00191,2.08274,-0.52299,0.93814,0.51250
104,3,0.05935,768.40850,0.33831,543.30824,0.14830,422.00000,1404.82446,3.16815,4.18972,0.00063,2.88209,-0.73191,0.99016,0.46500
105,3,0.05828,240.02083,0.36624,185.07995,0.15900,424.31985,500.29899,3.20942,4.19646,0.00074,2.75825,-0.71809,0.99151,0.47500
106,3,0.05282,1081.19771,0.27248,774.39003,0.10310,340.35131,2016.36240,3.25435,4.28798,0.00069,2.98558,-0.76680,0.99668,0.39000
107,3,0.05667,88.66503,0.35791,72.24373,0.21137,208.44853,200.30987,3.15100,4.21137,0.00139,2.72155,-0.66965,0.99013,0.59500
108,3,0.05320,480.39624,0.35172,358.11902,0.12040,307.13072,952.07984,3.20042,4.28267,0.00096,2.76433,-0.75999,0.99670,0.52500
109,3,0.05661,117.27328,0.38073,110.47506,0.16166,325.92198,324.62696,3.18113,4.21312,0.00095,2.72065,-0.71013,0.99231,0.49500
110,3,0.05586,122.01348,0.37538,119.60240,0.16896,218.77655,356.39612,3.14332,4.23690,0.00141,2.64957,-0.69993,0.98879,0.61250
111,3,0.05396,52.53186,0.40522,47.45682,0.16767,134.81536,137.29541,3.13811,4.27205,0.00212,2.63819,-0.72743,0.99519,0.53500
112,3,0.05140,673.74265,0.23756,406.50167,0.09283,285.89216,952.26405,3.26262,4.31862,0.00072,3.06031,-0.76758,0.99664,0.38750
113,3,0.04943,922.02696,0.32498,726.56527,0.05585,280.60458,1984.23411,3.32271,4.36274,0.00063,3.17601,-0.83169,0.99894,0.53500
114,3,0.05245,354.23775,0.15497,234.00804,0.11136,337.16422,581.79441,3.19493,4.29738,0.00077,2.90505,-0.74600,0.99595,0.56250
115,3,0.06369,103.59926,0.27114,78.62484,0.22364,149.21446,210.90011,2.96481,4.09032,0.00197,2.64324,-0.65355,0.98599,0.53750
116,3,0.05034,1235.66217,0.41957,1121.49297,0.06943,365.70956,3250.30972,3.34068,4.33864,0.00049,3.17202,-0.79855,0.99811,0.43000
117,3,0.05730,104.77819,0.28147,95.10826,0.21640,239.25694,275.65485,3.03025,4.19738,0.00139,2.64764,-0.66656,0.98993,0.52250
118,3,0.05561,182.31658,0.30894,137.15135,0.14584,205.46201,366.28880,3.20402,4.24305,0.00112,2.95795,-0.71022,0.99297,0.50750
119,3,0.05995,76.82598,0.38620,63.60763,0.19348,236.94199,177.60455,3.03121,4.17094,0.00161,2.46112,-0.71268,0.99004,0.55250
120,3,0.05123,183.72018,0.19072,128.11092,0.11854,365.68750,328.72350,3.20483,4.32107,0.00077,2.82461,-0.73540,0.99606,0.49750
121,3,0.05228,790.36683,0.45356,551.34723,0.13064,250.53023,1415.02208,3.20341,4.29983,0.00126,2.64255,-0.74580,0.99549,0.48750
122,3,0.05588,234.62990,0.37303,217.64362,0.15280,309.80229,635.94458,3.11378,4.23384,0.00096,2.82304,-0.71322,0.99222,0.46750
123,3,0.05313,52.74918,0.47996,53.84831,0.16095,391.14379,162.64406,3.15275,4.27777,0.00088,2.61181,-0.74571,0.99641,0.55500
124,3,0.05151,746.12582,0.27674,558.99371,0.10789,303.07925,1489.84904,3.28818,4.31821,0.00064,3.13393,-0.79229,0.99801,0.47250
125,3,0.05492,35.34150,0.42953,33.88716,0.19324,234.68056,100.20713,3.16777,4.24672,0.00142,2.55896,-0.69573,0.99259,0.50500
126,3,0.04987,616.26797,0.25665,419.31582,0.08661,403.95997,1060.99532,3.29329,4.35048,0.00055,3.03837,-0.79741,0.99828,0.46250
